Region,NS_SeC_1,NS_SeC_2,NS_SeC_3,NS_SeC_4,NS_SeC_5,NS_SeC_6,NS_SeC_7,NS_SeC_8,NC
North East,2282,12105,13181,7412,14626,40725,49584,25474,2197
North West,3454,17398,18270,13311,19517,54237,64655,36571,4286
Yorkshire and The Humber,4231,20862,20625,15899,24843,65017,78262,38940,4177
East Midlands,3161,15224,14368,11840,18519,44977,56390,24670,2875
West Midlands,3935,19406,18855,14306,21658,61301,66151,39596,4594
East,4342,18881,17811,16505,18578,44450,46292,19831,2180
London,14624,56862,51606,36148,34647,83916,76008,72760,13056
South East,4773,21350,19367,18707,20209,48852,49075,21602,2475
South West,2348,11848,10650,10813,12454,32744,33857,14272,1653
Wales,1885,10248,9237,7968,11725,30593,35118,19635,1881
