"Year","Quarter.month","England","London"
1970,"Q1","£57,371","£76,363"
1970,"Q2","£57,031","£73,217"
1970,"Q3","£59,025","£77,716"
1970,"Q4","£57,703","£76,713"
1971,"Q1","£57,781","£76,415"
1971,"Q2","£57,534","£78,490"
1971,"Q3","£59,918","£80,866"
1971,"Q4","£62,167","£84,435"
1972,"Q1","£64,710","£92,679"
1972,"Q2","£70,227","£102,032"
1972,"Q3","£79,703","£113,896"
1972,"Q4","£86,343","£124,810"
1973,"Q1","£91,375","£128,378"
1973,"Q2","£93,165","£126,562"
1973,"Q3","£97,619","£130,818"
1973,"Q4","£95,070","£122,537"
1974,"Q1","£92,437","£121,617"
1974,"Q2","£87,512","£111,006"
1974,"Q3","£85,946","£107,781"
1974,"Q4","£83,198","£107,037"
1975,"Q1","£78,577","£96,561"
1975,"Q2","£74,067","£93,874"
1975,"Q3","£72,617","£92,296"
1975,"Q4","£70,963","£86,000"
1976,"Q1","£69,537","£85,672"
1976,"Q2","£68,932","£86,118"
1976,"Q3","£68,831","£83,799"
1976,"Q4","£66,886","£82,533"
1977,"Q1","£64,074","£80,844"
1977,"Q2","£62,341","£74,880"
1977,"Q3","£63,175","£78,321"
1977,"Q4","£64,124","£77,996"
1978,"Q1","£64,300","£80,503"
1978,"Q2","£65,920","£85,952"
1978,"Q3","£69,321","£88,021"
1978,"Q4","£73,048","£90,873"
1979,"Q1","£74,502","£98,994"
1979,"Q2","£77,768","£102,040"
1979,"Q3","£78,147","£101,174"
1979,"Q4","£81,395","£104,847"
1980,"Q1","£80,877","£105,787"
1980,"Q2","£79,781","£105,393"
1980,"Q3","£80,485","£103,809"
1980,"Q4","£79,738","£103,766"
1981,"Q1","£77,964","£97,120"
1981,"Q2","£76,485","£98,972"
1981,"Q3","£76,074","£96,230"
1981,"Q4","£72,990","£94,447"
1982,"Q1","£69,766","£86,352"
1982,"Q2","£70,574","£90,124"
1982,"Q3","£72,016","£91,244"
1982,"Q4","£72,445","£93,524"
1983,"Q1","£74,618","£94,755"
1983,"Q2","£75,120","£95,457"
1983,"Q3","£77,267","£98,289"
1983,"Q4","£77,007","£99,597"
1984,"Q1","£77,788","£100,621"
1984,"Q2","£78,744","£108,200"
1984,"Q3","£80,998","£109,523"
1984,"Q4","£81,183","£110,488"
