NewCode,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E12000007,London,16090,17362,18210,18689,19759,20496,21319,21817,22608,23441,24399,24417,24235,24547,24827,24760,24865,25381,26000,26930,27299
E09000001,City of London,22515,24516,25930,27016,28352,29427,30473,32000,31682,33251,33649,34535,35104,36659,35503,35816,35860,35999,37404,39021,38323
E09000002,Barking and Dagenham,15770,17663,17031,17397,17980,19361,17919,18466,19772,19587,20756,21390,#,23279,21663,22509,21573,21323,19809,21873,20980
E09000003,Barnet,14646,15536,15554,16251,17144,-,-,18695,20944,#,22567,21040,21219,21034,20845,21651,22104,22575,22609,19785,21661
E09000004,Bexley,13604,15042,15787,15321,17222,14880,16640,18655,17859,18999,19054,19904,20008,19023,19150,20124,19730,#,21852,21123,21440
E09000005,Brent,13433,15631,15717,15340,16629,17227,17480,18529,17820,19407,20127,18750,18247,19999,19732,18833,19533,21153,19321,20715,22818
E09000006,Bromley,11888,12603,11174,11502,12806,14619,17326,19230,18989,19077,19251,18925,18708,19483,20296,19996,21575,21931,19682,21776,#
E09000007,Camden,17509,18712,20519,20826,21826,22319,23122,24000,24369,26001,26754,27162,26368,27004,26544,26548,27015,27580,28420,29015,29315
E09000008,Croydon,14551,15980,15651,16880,17065,18181,17068,19226,18628,19453,20584,21099,20562,21545,21654,21817,22407,21525,23231,25460,26094
E09000009,Ealing,15147,16385,18119,17368,18356,19512,20543,19823,21183,21875,21282,20824,20584,21113,21000,20355,20268,19715,22131,21460,22824
E09000010,Enfield,13722,15722,16932,16765,16374,19087,17407,17543,18445,18649,19488,#,19628,20150,18689,18780,19805,21052,21084,21203,21720
E09000011,Greenwich,15251,16293,16710,16649,17392,17262,19844,20187,20192,21886,22306,22175,21997,20452,22264,21985,23640,22651,23282,24566,22689
E09000012,Hackney,17391,16779,17424,17400,19020,20485,21469,22653,22176,22844,24508,25668,24000,23772,24997,23676,22078,24553,25214,25745,24990
E09000013,Hammersmith and Fulham,18664,18793,20705,21214,22161,21672,23022,22898,24664,25260,26249,26657,26930,26118,25382,25221,26039,25097,28513,32230,27691
E09000014,Haringey,15333,15275,16463,16660,16966,17809,18447,19198,18998,22337,20334,21751,20608,20941,21931,21511,21360,21603,23887,22578,23803
E09000015,Harrow,15102,15594,17279,16715,17228,19536,19425,18974,20027,20161,19264,19600,17988,19622,17804,18361,18427,#,#,20115,22171
E09000016,Havering,11316,11488,11985,11419,12251,12520,18289,18182,19408,20130,19983,#,19804,19952,21375,21135,21306,21000,20868,22099,24290
E09000017,Hillingdon,15716,17394,18161,17907,18507,20121,20048,20007,21531,22819,23088,23433,23455,23462,24521,24024,23895,23802,24120,23542,23683
E09000018,Hounslow,15424,17400,17505,17333,18891,19108,20916,18472,19610,20747,23419,22606,23184,22457,22259,23694,24867,25196,23566,25093,#
E09000019,Islington,18599,19970,20812,23002,24261,23062,24503,25303,25532,27045,27096,25458,26659,26864,27405,26419,26649,29066,29632,29536,30413
E09000020,Kensington and Chelsea,14774,15787,17559,19182,18879,19490,18564,19726,18948,20675,21009,22107,22262,21653,23099,22050,22482,22541,23748,24037,24779
E09000021,Kingston upon Thames,13782,14890,16499,17128,17830,18059,18258,19430,19617,19562,19910,21284,19761,22520,20781,23475,21621,21968,22623,#,#
E09000022,Lambeth,16487,18188,18050,18885,19924,20046,22128,21930,23426,23838,25243,25569,25246,24836,25224,25912,25771,25730,25849,26799,27432
E09000023,Lewisham,14959,15313,16626,16771,16976,17410,18814,18468,21123,21750,24503,22542,20291,20352,20684,21693,20986,23034,23102,21493,23317
E09000024,Merton,14990,15285,16182,16952,17109,16953,18000,18419,19076,#,19736,20778,20228,21171,21746,20160,#,21461,20697,23426,22292
E09000025,Newham,14074,14614,16017,16762,17549,-,18352,18688,19594,21204,22314,22960,19660,20924,20497,20492,19227,22418,21002,22170,23706
E09000026,Redbridge,13447,14975,16456,16087,16159,-,18346,17590,19390,21100,21720,20173,20234,18550,-,22285,21065,22034,20918,#,21645
E09000027,Richmond upon Thames,16424,17530,18352,17863,18237,18793,19034,19832,21597,22382,22439,23502,21231,21254,21140,21556,#,24780,23734,24020,24501
E09000028,Southwark,16760,18251,22342,22100,22620,21960,21218,23149,24125,22818,25342,25880,26222,26844,26523,25914,26494,27525,26748,29297,28777
E09000029,Sutton,14203,15278,16334,17401,18046,18689,-,19468,18073,18713,19402,19265,18051,18782,22508,19320,19877,20312,20292,#,23593
E09000030,Tower Hamlets,19054,20306,22302,23357,24537,27601,28289,27288,28764,30913,30896,30035,31180,32252,31964,32062,30600,30174,32521,32799,32802
E09000031,Waltham Forest,12990,14773,14500,14970,15213,17188,14466,17402,16167,16844,#,17701,19544,19384,-,16456,19319,18796,21774,20613,23647
E09000032,Wandsworth,15748,17605,16544,16988,17823,19404,19654,20328,22218,21752,23750,22331,23902,22814,22573,21670,23537,23655,24133,25573,24140
E09000033,Westminster,17562,18926,19934,20872,21333,22986,23375,23899,25294,25584,26396,26604,26254,27080,26385,27340,27314,27752,29136,30000,30719
