NewCode,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E92000001,England,17939,19107,19997,20706,21500,22418,23280,23729,24480,25549,26133,26265,26488,26822,27372,27485,27841,28496,29083,29856,30667
E12000007,London,22487,24204,25215,26467,27455,28750,29882,30355,31484,32813,33700,33990,34396,34883,35173,35034,35303,36170,37171,38146,38992
E09000001,City of London,33020,34903,39104,39750,41795,43347,45000,46292,49955,50503,52092,52271,54381,54000,54202,54710,54034,55487,56295,61203,61636
E09000002,Barking and Dagenham,21480,22618,22323,24813,25358,26089,26680,26549,30200,29396,30973,28527,28201,33131,32248,32698,33018,30994,28553,29995,28738
E09000003,Barnet,19568,21761,20916,23112,23828,#,27033,26071,27436,27978,30496,30000,30237,29594,29353,31162,30900,32623,32143,29927,31624
E09000004,Bexley,18621,19363,20217,21101,22247,20946,23936,24719,26457,28326,28222,27738,28638,27440,28512,28505,29664,#,30733,#,31642
E09000005,Brent,18532,22348,21878,21350,23018,23323,24209,25279,25763,27326,27503,25997,26772,27577,28034,29514,29987,30699,30134,30366,31739
E09000006,Bromley,16720,16401,15684,16635,19042,21192,24241,25715,25666,27236,26951,27712,28163,28082,28126,27926,30444,30861,29819,30762,#
E09000007,Camden,23677,25484,27386,27432,30002,30510,31358,32418,33059,35314,36375,36527,35967,36962,36336,36748,36970,37817,38147,39198,40196
E09000008,Croydon,19563,21339,20889,22675,22838,24371,24652,26049,25965,27482,28225,28586,28979,28974,30939,31154,30628,31479,32109,33804,35237
E09000009,Ealing,20580,22512,23862,24542,24349,26722,27235,26354,27490,29439,28234,28732,28646,31104,29733,28825,28657,29241,30259,29928,31021
E09000010,Enfield,19289,22467,24136,24654,22463,27414,24594,25088,26325,25550,27828,26967,26412,27123,25805,25805,26230,28918,29134,29238,28258
E09000011,Greenwich,21236,22121,20761,21846,23600,25387,26330,27363,29319,30766,29871,31821,29932,30097,29251,28954,30497,30180,32635,33163,33081
E09000012,Hackney,23249,24083,24095,24582,25149,26687,28923,30105,28996,31589,33107,35149,33512,34803,33097,33116,31566,32404,33618,35286,35020
E09000013,Hammersmith and Fulham,25000,25264,26319,28012,29831,29830,30787,30464,33535,#,36525,35033,36143,35136,34554,33688,34652,35000,36972,40972,37990
E09000014,Haringey,18783,19772,20349,21972,22422,23481,24626,27020,26281,29859,28515,29597,28032,29116,29609,30325,30072,29753,31442,29801,30452
E09000015,Harrow,20596,22238,22960,23176,22796,24750,26162,25575,26107,27627,27532,27921,27540,26738,25784,26037,26770,30134,31255,30553,32809
E09000016,Havering,17165,17418,17940,16123,18250,18240,24296,26394,26079,28800,28317,28235,28415,28326,29858,30003,30591,28906,29134,30181,32321
E09000017,Hillingdon,24002,25038,26051,26159,26774,28003,29351,28771,30290,31291,31584,31586,33589,33822,35738,33984,32681,33093,33596,31886,35231
E09000018,Hounslow,20155,23230,22853,24399,26019,27457,29584,26853,27547,29475,31672,31307,32759,31821,31173,33038,33717,36235,34119,35935,36487
E09000019,Islington,25113,26598,28323,33497,33579,30410,30499,33995,34779,36357,36981,34551,35996,36653,37325,36751,36679,39894,39348,40000,41076
E09000020,Kensington and Chelsea,20646,22952,24979,26649,26213,26846,26855,26619,28355,30217,29901,30196,31491,30726,31307,30002,31524,30008,31678,32976,33000
E09000021,Kingston upon Thames,19302,20983,21427,22575,23813,23708,24937,25640,27274,26583,27497,28240,28997,29067,29450,30768,28635,30729,31308,#,32138
E09000022,Lambeth,23151,24264,24019,24952,26034,27186,28347,29930,30633,30566,33415,33821,34836,35280,35397,34491,34852,34670,35036,36200,36825
E09000023,Lewisham,20580,22357,21990,23254,22069,25238,28022,27021,27673,29403,30891,30806,29567,29995,30478,29983,30932,32217,33294,29966,32334
E09000024,Merton,18962,18906,21014,22429,22959,23208,25991,24883,26346,28363,27662,27441,28066,28613,28610,27539,30040,28224,29627,31182,31699
E09000025,Newham,18862,19437,21054,21420,22792,#,26331,27162,27434,29467,31028,32578,29998,30540,29334,29061,28886,30743,30770,30392,33944
E09000026,Redbridge,19580,20256,21106,22133,23407,#,26462,27940,29429,29283,31235,30086,29829,28100,31215,31127,29098,28237,29189,#,29108
E09000027,Richmond upon Thames,22321,22574,23799,23311,25549,26770,26809,28610,30881,32437,31733,32249,32197,31505,31997,31533,32660,33329,32141,34027,35191
E09000028,Southwark,22784,24857,27114,28062,29307,29609,29534,31575,32000,31227,34265,35050,36124,36056,36198,34612,36238,37159,37601,39998,40303
E09000029,Sutton,19582,22019,22972,23311,24455,24514,25714,25102,25182,26082,26111,26288,26743,25247,30061,25797,27355,28318,27945,28853,32947
E09000030,Tower Hamlets,26376,28445,31232,31168,34281,39128,39493,38975,41117,41880,43987,44443,45970,44880,46441,48309,46681,45975,49369,49237,46142
E09000031,Waltham Forest,18547,19776,21245,21799,22918,23857,21931,23074,25034,26609,27651,27755,28005,27235,#,26484,29352,27455,28284,30298,30718
E09000032,Wandsworth,21321,22840,22054,23720,24299,26137,26549,27405,30513,30808,32373,31818,32033,31262,31491,31085,31968,33405,33137,34501,34168
E09000033,Westminster,24447,25951,26829,28879,29254,31482,32519,33474,35315,36048,36765,37836,37406,37649,36946,37260,39392,40000,42152,43015,43556
