year,month,rents_london,rents_england,rents_excl_lon
2005,Jan,75.5,81.5,85.1
2005,Feb,75.5,81.6,85.3
2005,Mar,75.5,81.7,85.3
2005,Apr,75.6,81.8,85.5
2005,May,75.6,82.0,85.8
2005,Jun,75.6,82.1,86.0
2005,Jul,75.7,82.3,86.2
2005,Aug,76.0,82.5,86.4
2005,Sep,76.2,82.7,86.6
2005,Oct,76.2,82.8,86.8
2005,Nov,76.3,83.0,86.9
2005,Dec,76.5,83.2,87.3
2006,Jan,76.8,83.5,87.5
2006,Feb,77.0,83.7,87.6
2006,Mar,77.1,83.8,87.8
2006,Apr,77.3,84.0,88.0
2006,May,77.4,84.1,88.1
2006,Jun,77.6,84.2,88.2
2006,Jul,77.8,84.4,88.3
2006,Aug,77.9,84.6,88.5
2006,Sep,77.9,84.7,88.8
2006,Oct,78.0,84.8,88.8
2006,Nov,78.2,85.0,89.0
2006,Dec,78.2,85.2,89.3
2007,Jan,78.4,85.4,89.5
2007,Feb,78.6,85.6,89.7
2007,Mar,78.8,85.8,89.9
2007,Apr,79.2,86.0,90.1
2007,May,79.3,86.2,90.2
2007,Jun,79.7,86.3,90.3
2007,Jul,80.0,86.6,90.5
2007,Aug,80.3,86.9,90.8
2007,Sep,80.6,87.2,91.1
2007,Oct,80.9,87.4,91.3
2007,Nov,81.2,87.7,91.6
2007,Dec,81.7,88.0,91.8
2008,Jan,82.2,88.5,92.2
2008,Feb,82.4,88.6,92.3
2008,Mar,82.6,88.8,92.5
2008,Apr,82.8,89.0,92.7
2008,May,83.1,89.2,92.8
2008,Jun,83.4,89.4,93.0
2008,Jul,83.6,89.6,93.2
2008,Aug,83.8,89.8,93.4
2008,Sep,84.0,90.0,93.7
2008,Oct,84.5,90.4,93.9
2008,Nov,84.9,90.6,94.1
2008,Dec,85.2,90.9,94.3
2009,Jan,85.5,91.1,94.4
2009,Feb,85.7,91.2,94.5
2009,Mar,85.7,91.2,94.5
2009,Apr,85.8,91.3,94.6
2009,May,85.8,91.3,94.6
2009,Jun,85.7,91.3,94.6
2009,Jul,85.5,91.2,94.5
2009,Aug,85.4,91.1,94.5
2009,Sep,85.3,91.0,94.3
2009,Oct,85.1,90.8,94.2
2009,Nov,84.9,90.6,94.0
2009,Dec,84.8,90.4,93.8
2010,Jan,84.7,90.3,93.6
2010,Feb,84.6,90.1,93.4
2010,Mar,84.5,90.1,93.4
2010,Apr,84.4,90.0,93.4
2010,May,84.5,90.1,93.4
2010,Jun,84.5,90.1,93.5
2010,Jul,84.7,90.2,93.5
2010,Aug,84.8,90.3,93.7
2010,Sep,85.0,90.5,93.8
2010,Oct,85.3,90.7,93.9
2010,Nov,85.5,90.8,94.0
2010,Dec,85.9,91.1,94.2
2011,Jan,86.3,91.4,94.5
2011,Feb,86.6,91.6,94.6
2011,Mar,86.8,91.7,94.7
2011,Apr,87.1,91.9,94.8
2011,May,87.4,92.1,95.0
2011,Jun,87.7,92.3,95.1
2011,Jul,88.0,92.5,95.2
2011,Aug,88.4,92.7,95.3
2011,Sep,88.8,93.0,95.5
2011,Oct,89.1,93.2,95.6
2011,Nov,89.5,93.4,95.8
2011,Dec,90.0,93.8,96.0
2012,Jan,90.5,94.0,96.1
2012,Feb,90.8,94.2,96.3
2012,Mar,91.0,94.3,96.3
2012,Apr,91.6,94.6,96.5
2012,May,91.9,94.8,96.6
2012,Jun,92.3,95.0,96.7
2012,Jul,92.6,95.2,96.8
2012,Aug,92.9,95.4,96.9
2012,Sep,93.5,95.7,97.1
2012,Oct,93.8,95.9,97.3
2012,Nov,94.0,96.1,97.3
2012,Dec,94.4,96.3,97.5
2013,Jan,94.7,96.4,97.6
2013,Feb,94.9,96.6,97.6
2013,Mar,95.1,96.7,97.7
2013,Apr,95.4,96.8,97.7
2013,May,95.8,97.0,97.8
2013,Jun,96.0,97.2,97.9
2013,Jul,96.3,97.3,97.9
2013,Aug,96.7,97.5,98.1
2013,Sep,96.8,97.6,98.1
2013,Oct,96.9,97.7,98.2
2013,Nov,97.2,97.9,98.3
2013,Dec,97.2,98.0,98.5
2014,Jan,97.3,98.1,98.6
2014,Feb,97.3,98.1,98.7
2014,Mar,97.5,98.3,98.8
2014,Apr,97.7,98.4,98.8
2014,May,98.0,98.5,98.9
2014,Jun,98.1,98.6,99.0
2014,Jul,98.3,98.8,99.1
2014,Aug,98.5,98.9,99.2
2014,Sep,98.7,99.0,99.2
2014,Oct,99.0,99.2,99.4
2014,Nov,99.2,99.4,99.6
2014,Dec,99.5,99.7,99.8
2015,Jan,100.0,100.0,100.0
2015,Feb,100.3,100.2,100.1
2015,Mar,100.6,100.4,100.2
2015,Apr,100.9,100.6,100.4
2015,May,101.5,100.9,100.5
2015,Jun,101.8,101.1,100.7
2015,Jul,102.0,101.2,100.8
2015,Aug,102.7,101.6,101.0
2015,Sep,102.8,101.8,101.2
2015,Oct,103.0,102.0,101.3
2015,Nov,103.3,102.2,101.6
2015,Dec,103.4,102.3,101.7
2016,Jan,103.9,102.7,102.0
2016,Feb,104.1,102.9,102.2
2016,Mar,104.4,103.1,102.4
2016,Apr,104.7,103.4,102.6
2016,May,104.8,103.6,102.8
2016,Jun,104.9,103.7,102.9
2016,Jul,105.0,103.8,103.1
2016,Aug,105.3,104.1,103.4
2016,Sep,105.5,104.3,103.6
2016,Oct,105.7,104.5,103.8
2016,Nov,105.7,104.7,104.1
2016,Dec,105.8,104.9,104.3
2017,Jan,106.1,105.1,104.6
2017,Feb,106.1,105.2,104.7
2017,Mar,106.0,105.3,104.8
2017,Apr,106.1,105.4,105.0
2017,May,106.3,105.5,105.1
2017,Jun,106.3,105.6,105.2
2017,Jul,106.5,105.8,105.4
2017,Aug,106.5,105.9,105.5
2017,Sep,106.5,106.0,105.7
2017,Oct,106.5,106.1,105.9
2017,Nov,106.4,106.2,106.1
2017,Dec,106.2,106.2,106.2
2018,Jan,106.3,106.3,106.4
2018,Feb,106.2,106.4,106.5
2018,Mar,106.1,106.4,106.6
2018,Apr,106.1,106.5,106.8
2018,May,106.1,106.6,106.9
2018,Jun,106.1,106.7,107.0
2018,Jul,106.2,106.8,107.1
2018,Aug,106.3,106.9,107.3
2018,Sep,106.3,107.0,107.4
2018,Oct,106.3,107.1,107.5
2018,Nov,106.3,107.2,107.7
2018,Dec,106.4,107.4,107.9
2019,Jan,106.4,107.4,108.1
2019,Feb,106.5,107.6,108.2
2019,Mar,106.6,107.7,108.3
2019,Apr,106.7,107.8,108.4
2019,May,107.0,108.0,108.5
2019,Jun,107.0,108.1,108.7
2019,Jul,107.2,108.2,108.8
2019,Aug ,107.1,108.3,108.9
2019,Sep,107.2,108.4,109.1
2019,Oct,107.3,108.6,109.3
2019,Nov,107.4,108.7,109.5
2019,Dec,107.6,108.9,109.6
2020,Jan,107.7,109.1,109.8
2020,Feb,107.7,109.1,109.9
2020,Mar,107.9,109.3,110.0
2020,Apr,108.0,109.4,110.2
2020,May,108.2,109.6,110.4
2020,Jun,108.3,109.7,110.5
