NewCode,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E12000007,London,53.12,56.87,59.30,61.26,62.60,65.25,67.47,69.86,74.67,78.07,81.59,85.64,90.39,96.05,97.46,-,-,116.16,121.41,125.47,124.07,121.51,-
E09000001,City of London,49.44,51.44,52.77,55.52,56.93,58.70,61.88,65.72,72.20,73.52,86.48,82.51,88.98,95.88,96.45,104.55,112.93,115.56,124.46,126.67,126.93,126.83,126.59
E09000002,Barking and Dagenham,65.32,67.88,68.97,63.44,64.18,69.22,69.03,70.32,74.83,78.46,81.45,85.34,90.25,95.69,96.49,101.69,107.67,120.92,127.03,128.51,128.74,118.51,116.92
E09000003,Barnet,58.11,61.88,63.81,65.72,67.70,69.32,70.82,74.55,79.30,82.68,85.84,90.09,95.10,101.56,103.17,109.79,117.53,123.29,127.16,132.13,130.39,127.68,127.97
E09000004,Bexley,50.90,58.78,59.17,62.44,63.58,66.25,67.74,66.67,72.22,75.51,78.57,82.31,85.91,90.42,90.60,96.58,100.56,106.35,111.21,112.89,112.67,110.75,109.12
E09000005,Brent,54.49,56.21,59.78,62.34,62.39,65.61,68.34,71.77,77.22,79.14,83.61,89.14,94.08,100.36,101.46,106.78,113.71,118.15,123.16,136.19,133.96,125.60,133.71
E09000006,Bromley,56.95,59.57,61.24,64.39,65.76,68.74,70.73,70.56,74.94,78.01,82.94,85.44,89.55,95.58,95.71,101.62,111.10,111.69,115.94,118.13,116.92,115.72,115.86
E09000007,Camden,54.04,59.17,61.27,63.16,65.16,67.50,69.82,73.27,80.87,83.29,86.94,91.21,96.16,102.56,104.29,111.48,121.61,127.14,132.35,134.18,135.57,133.52,131.12
E09000008,Croydon,62.97,65.95,69.30,70.46,71.85,74.49,76.09,77.93,81.54,85.15,88.23,91.19,96.61,101.32,101.90,107.26,114.39,118.44,123.11,125.93,124.37,123.39,122.20
E09000009,Ealing,54.18,59.20,60.00,62.65,63.68,66.47,69.28,72.51,77.96,83.26,85.34,89.64,95.70,101.73,102.76,109.03,116.43,120.94,126.27,132.57,132.16,126.92,130.55
E09000010,Enfield,58.88,61.34,64.08,63.48,64.06,68.04,69.76,73.37,77.56,81.90,84.92,88.83,92.90,99.87,100.97,108.47,115.78,120.11,125.54,128.84,125.36,122.20,122.77
E09000011,Greenwich,55.36,59.76,61.38,61.96,62.92,65.87,68.13,71.63,75.67,78.60,80.86,85.99,90.70,95.44,96.61,100.87,107.74,111.15,116.24,119.42,118.07,119.25,118.66
