Area,NewCode,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
London,E12000007,645588,635219,625662,618621,593616,573286,551006,530015,515975,499705,482835,468318,456761,450881,435542,432937,422227,417715,412822,410011,406387,401725,397558,393938,392770,390987,390687
Barking and Dagenham,E09000002,26867,26572,26281,25939,25518,24727,23808,22902,22490,21702,20977,20457,19966,19659,19461,19345,19241,19173,19144,19018,18434,18506,18115,17922,17773,17077,16352
Barnet,E09000003,14336,13736,13639,13497,13269,12820,12514,12293,12037,11812,11288,11147,11106,11074,11051,11000,11255,11202,11043,11022,10978,10736,10426,10017,10062,9938,10397
Bexley,E09000004,8936,8690,8544,8450,17,17,16,16,16,15,0,15,15,13,13,13,13,13,13,13,19,19,0,87,195,207,222
Brent,E09000005,16843,16626,14693,14014,12109,11676,10918,10801,10409,10206,9949,9720,9625,11135,9792,9679,9211,9115,9040,8659,8668,8254,8250,8292,8351,8345,8231
Bromley,E09000006,203,170,175,193,111,94,82,93,102,97,0,0,0,0,86,63,37,92,62,62,62,62,62,62,62,62,0
Camden,E09000007,29520,29249,28969,28976,28212,27678,27083,26797,26007,25690,25492,23921,23997,23517,23707,23860,23665,23596,23630,23508,23508,23256,23197,23075,23173,23446,23226
City of London,E09000001,554,547,544,545,540,515,488,475,463,459,441,429,430,429,429,430,430,430,430,430,450,450,444,438,438,456,646
Croydon,E09000008,16527,16354,16247,15979,15792,15648,15519,15235,14993,14725,14412,14237,14180,14136,14043,14020,14045,14024,14089,14030,13993,13872,13801,13660,13571,13475,13418
Ealing,E09000009,16126,15931,15797,15629,15423,15204,14771,14679,14698,14567,13811,13595,13460,13920,13364,13313,13487,13060,12861,12924,12567,12533,12578,11913,11947,11747,11643
Enfield,E09000010,15963,15255,15004,14929,14774,13577,13264,13413,12824,12491,12246,11723,11645,11588,11578,11357,11327,11482,11317,10859,10665,10408,10257,10075,10189,10157,10692
Greenwich,E09000011,33087,32416,31906,31757,30922,29100,28429,27599,27210,26670,25904,25317,25007,24703,24449,24071,23793,23404,22854,23104,22832,22419,21836,21545,21082,20883,20714
Hackney,E09000012,40409,39820,38804,38368,36269,32427,29244,28607,27946,26170,25025,24448,23739,23590,23536,23020,22912,22772,22733,22812,22382,22438,22164,21784,21780,21723,21841
Hammersmith and Fulham,E09000013,16603,16525,16308,16117,16046,15137,15264,14503,14273,14003,13760,13397,13299,13248,13213,13144,13159,13113,12948,12770,12536,12384,12351,12297,12227,12141,12022
Haringey,E09000014,20256,20123,19830,19728,19714,19512,19416,18963,18098,18094,17072,16990,16757,16964,16162,16344,16492,16623,15911,15830,15646,15439,15311,15423,15097,15049,15106
