Area,NewCode,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014 - 15,2015 - 16,2016- 17,2017- 18
London,E09000001,8050,11335,11440,10198,11610,12780,10690,4068,2198,1862,397,247,380,311,1055,2962,4086.7,3586.7,3137.1,2167.95
Barking and Dagenham,E09000002,393,762,527,374,585,653,431,249,229,197,54,51,69,71,96,224,220,224,190,214
Barnet,E09000003,260,287,252,168,141,251,45,47,21,30,5,5,4,6,34,103,123,76,66,37
Bexley,E09000004,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brent,E09000005,400,265,156,159,157,185,149,66,31,43,4,6,5,4,13,92,78,58,58,49
Bromley,E09000006,627,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Camden,E09000007,363,400,760,671,477,518,433,137,112,114,13,8,14,7,21,76,143,114,86,44
City of London,E09000001,58,81,50,38,38,59,42,3,7,3,2,0,0,1,1,14,9,6,10,7
Croydon,E09000008,119,181,249,259,242,324,164,39,46,38,4,5,8,8,36,52,135,143,148,88
Ealing,E09000009,218,354,330,309,262,339,176,51,53,35,15,8,7,10,39,130,142,93,85,56
Enfield,E09000010,163,327,216,210,279,382,216,67,50,45,12,12,9,8,56,100,179,121,128,139
Greenwich,E09000011,373,515,518,470,561,701,409,127,97,70,13,15,17,18,129,252,247,244,225,203
Hackney,E09000012,431,455,764,373,728,656,709,202,126,127,27,3,16,10,19,74,180,207,120,56
Hammersmith and Fulham,E09000013,187,238,372,212,400,228,215,116,40,36,8,2,7,7,9,59,77,80,56,30
Haringey,E09000014,284,441,239,400,363,500,473,226,71,79,12,14,19,8,79,147,218,143,155,90
Harrow,E09000015,97,134,88,88,69,81,54,32,16,6,3,9,5,0,14,36,37,34,31,27
Havering,E09000016,149,307,273,219,216,258,124,89,70,52,12,13,18,15,49,96,84,106,135,113
Hillingdon,E09000017,287,400,231,163,163,177,105,76,38,36,7,5,14,7,47,106,191,130,99,64
Hounslow,E09000018,290,514,283,142,168,372,166,43,30,21,8,2,10,3,12,56,150,156,113,72
Islington,E09000019,393,553,840,840,677,743,852,258,142,108,21,11,15,16,31,139,234,160,118,81
Kensington and Chelsea,E09000020,95,147,108,42,43,66,49,13,15,14,1,1,2,1,3,31,25,34,9,9
Kingston upon Thames,E09000021,55,98,51,31,70,64,36,14,15,15,6,1,6,3,12,42,34,35,34,23
Lambeth,E09000022,358,503,668,600,1215,801,959,181,162,129,30,10,22,18,2,105,251,172,75,40
Lewisham,E09000023,371,83,839,963,1000,1027,682,343,181,109,13,4,11,18,17,102,122,116,117,65
Merton,E09000024,173,177,164,164,195,192,122,45,41,29,6,5,..,..,..,..,..,..,..,..
Newham,E09000025,300,717,272,611,739,888,648,211,141,102,16,6,14,15,59,138,251,350,281,146
Redbridge,E09000026,85,108,127,100,119,125,113,68,21,18,3,2,4,7,28,61,56,50,53,53
Richmond upon Thames,E09000027,92,223,33,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Southwark,E09000028,418,643,809,930,974,1432,1742,751,207,177,43,23,23,24,94,250,304,245,278,171
Sutton,E09000029,80,163,146,130,150,145,58,15,9,12,3,2,5,2,35,65,75,59,51,37
Tower Hamlets,E09000030,147,897,1074,1007,1213,815,866,400,99,130,43,7,26,8,12,86,254,257,262,136
Waltham Forest,E09000031,190,289,244,188,123,288,211,53,48,27,6,1,10,4,34,138,130,88,93,52
Wandsworth,E09000032,112,684,321,148,43,243,296,106,54,38,3,11,5,2,55,128,85,44,33,46
Westminster,E09000033,483,390,436,189,200,267,145,40,26,23,4,5,15,10,19,60,53,42,28,20
