Year,Month,Day,Title,validate
1992,8,15,Social Cleansing' of City,
1993,8,4,Labour Attacks Council Policy of 'Social Cleansing',
1994,1,18,Leading Article: The Housing Clearances,
1994,1,21,Leading Article; A Policy where the Roof Leaks,
1994,10,31,Letter to the Editor: At All Costs,1
1994,11,4,Cover Story: The Westminster Boys,
1998,9,18,Letter: Stereotypes Will Not Help Estates,1
2003,10,13,Etcetera: Why I Love Bloomsbury Squares,
2004,3,18,Comment & Analysis: Exit Strategy: Ratcheting up despair levels among undesirable groups could offer Bush and Blair the ultimate solution,
2005,9,25,The Big Squeeze,1
2005,10,19,Today at Question Time,1
2006,4,26,Society 3: Housing: Ministers push for dilution solution: The government says too much social housing in one area concentrates poverty. It thinks increased homeownership is the answer. But isn't this just social cleansing?,
2006,11,11,Family: Write out 100 Times 'Rising House Prices Create Latchkey Kids',1
2007,3,16,Comment and Debate: Once they called it Rachmanism. Now it's being done with taxpayer's money,
2009,7,15,Stephen Greenhalgh: the housing philosophy of Hammersmith and Fulham,
2009,7,16,Boris' Mixed Up Housing Plans,
2010,2,24,Mayor's Question Time: congestion and housing,1
2010,3,7,Housing in London: The Debate Rages,
2010,6,25,Obituary: Other Lives: Angela Molloy,
2010,7,13,Comment: Housing was Labour's Greatest Failure. Now it Gets Worse,
2010,10,6,Reply: Letter: Cuts and the National Interest,
2010,10,7,Reply: Letter: Right move to keep down rents,
2010,10,7,Comment: The Tory benefits backlash is a taste of things to come,
2010,10,27,"Three-quarters of incapacity benefit claimants are fit to work, says DWP: government publishes the results of reassessments Clegg rejects accusation of 'social cleansing' the poor",
2010,10,28,London housing crisis: the penny drops,
2010,10,28,G2: We need to rethink on high-density housing,
2010,10,29,David Cameron: Opponents of Housing Benefit Cuts Should Think Again,
2010,10,29,Building Resistance,
2010,10,29,Housing benefits cuts pose problem for coalition - but this is not social cleansing,
2010,10,29,"Front: Housing Plans will Backfire, ministers told: Experts say benefits bill will rise: Johnson warns of 'social cleansing'",
2010,10,29,Comment: Housing Cap benefits all: Boris Johnson's social cleansing gaffe must not weaken resolve on a fair and necessary budget cut,
2010,10,30,Comment: Underground Resistance Hits Chelsea Star,
2010,10,30,"Comment: Boris Johnson, our very own Sarah Palin, is going rogue... their political strategies have much in common",
2010,10,30,"Housing: On the Road to Hastings Pier, locals fear that history may be repeated",
2010,10,30,Housing: how the cap will work,
2010,10,30,Housing: Claim that 'poor can live anywhere' undermined,
2010,11,2,73 Months and Counting,
2010,11,4,David Cameron's Worst Week - but there will be plenty more to come,
2010,11,5,"Comment: Someone out there, pick up a guitar and howl: Public services are being laid to waste and and benefits shorn, but popular culture's voice of dissent remains strangely silent",1
2010,11,12,G2: The fightback begins: Can this week's violent scenes in Westminster simply be dismissed as the hijacking of an orderly demonstration by a 'small minority' of anarchists? Or are they a sign of things to come for an 'out-of-touch' government with 18 millionaires in its cabinet?,
2010,11,16,Housing Crisis: Duncan Smith on London Landlords,
2011,3,7,Charity Mounts Legal Challenge to cap on Housing Benefits,
2011,3,11,Regeneration or Ruin?,
2011,3,17,Legal Battles Against Cuts are Worth Fighting,
2011,5,14,Conservatives: Boris vs. Dave,
2011,10,14,National: Politics: Duncan Smith Attacks Child Poverty Charity,
2011,10,14,Iain Duncan Smith accused of 'losing his cool' in housing benefit outburst,1
2011,11,2,Ken Livingstone: Boris co-operates with 'stealth' removal of poor from London,
2012,2,8,Society: Interview Stephen Greenhalgh: Localism hero: Why is Eric Pickles's favourite town hall leader heading for the backbenches at Hammersmith & Fulham?,1
2012,3,4,Politics live blog: Nick Clegg and Harriet Harman at PMQs,
2012,3,14,"Society: Interview Philippa Roe: 'This lie about social cleansing is wrong': Westminster residents will be hit hard by the benefits cap, but the council's new leader says they needn't go far",1
2012,4,17,London mayor live blog - live Q&A on housing,
2012,4,24,Will the housing benefit cap cause the 'social cleansing' of London?,
2012,4,25,Boris Johnson vows to block 'Kosovo-style cleansing' of the poor,
2012,4,25,Boris Johnson: his housing benefit denials are looking thin,
2012,4,26,"G2: Suzanne Moore: Entertaining as it is, the hunt for Hunt is overshadowing the real issues - the recession and the rule of an overconfident elite",
2012,4,28,"Saturday: Yo, Shappsy!: Housing minister Grant Shapps ought to be hurting after a tough week for the Tories - the row about 'social cleansing', his mate Jeremy Hunt, double-dip recession and 'posh boys who don't know the price of milk'. But you'd never know it. He's all smiles and karaoke",
2012,5,1,Reply: Letter: Tories are out of touch with housing reality,
