"borough","time","ward01","ward11","ward","p.inc.supp01","nonwhite11","all.dwell01","low.dwell01","med.dwell01","hig.dwell01","med.income01","avg.income01","unemp01","youth.unemp01","price01","sales01","dens01","crime01","crime02","crime03","crime04","crime05","crime06","viol01","viol05","white01","black01","asian01","hholds01","council01","private01","block01","over.council01","over.private01","ownbath01","noheat01","hholds11","council11","private11","white.council01","asian.council01","black.council01","p.white.council01","p.asian.council01","p.black.council01","p.nonwhite.council01","votes.con06","votes.lab06","votes.ld06","total06","turnout06","votes.lab02","votes.ld02","votes.con02","turnout02","total02","votes.con10","votes.lab10","votes.ld10","total10","turnout10","lcrime01","lviol01","perc.lab10","perc.lab06","perc.lab02","dcouncil","rcouncil","cand_vote_order06","allvote06","lab06","pc_lab06","con06","pc_con06","ld06","pc_ld06","gr06","pc_gr06","res06","pc_res06","bnp06","pc_bnp06","ukip06","pc_ukip06","elected06","seats06","labseats06","pc_labseats06","ldseats06","pc_ldseats06","conseats06","pc_conseats06","grseats06","pc_grseats06","resseats06","pc_resseats06","bnpseats06","pc_bnpseats06","ukipseats06","pc_ukipseats06","num_cand06","log_medincome01","log_avgincome01","log_sales01","log_price01","log_hholds01","log_hholds11","log_dens01","lab.borough02","lab.borough06","pc_ld02","pc_con02","pc_lab02","avg.crime"
"Barking and Dagenham","1","00ABFX","E05000026","Abbey",9.90338164251208,0.718754888158924,3963,57.27983851,42.59399445,0.100933636,22660,25540,9.695530123,7.419786096,83000,210,7961.538462,277.9127393,302.8472821,278.9663006,299.5051816,247.5438435,255.4962454,54.124963562972,58.8559360843843,0.543601802861062,0.14275916127768,0.260533019792279,4090,34.4498777506112,13.520782396088,79.8158640226629,8.38630806845966,5.40342298288509,99.7869318181818,4.90056818181818,4572,18.4820647419073,38.6264216972878,970,137,246,28.1568488289567,3.97679205110007,7.14080908445706,71.8431511710433,765,3892,NA,4657,29.8549939016127,2813,1167,NA,22.9048613182225,3980,1867,9673,603,12541,58.1,5.6273071770076,3.99129551312099,0.771310102862611,0.835731157397466,0.70678391959799,-15.967813008704,-46.3508553623842,1,2141,1376,0.671661413309909,765,0.35730967,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,10.028357,10.148001,5.3471074,11.326596,8.3163004,8.4277058,8.982378,1,1,0.299367533380183,NA,0.700632466619817,276.87177064
"Barking and Dagenham","2","00ABFY","E05000027","Alibon",9.67914438502674,0.299470389985556,3892,8.504624872,91.41829394,0.077081192,21160,23980,7.81289507,9.072580645,89000,133,6678.571429,79.37693375,83.73282199,86.31332482,81.03228547,89.70836855,96.78778304,17.8171343229167,28.7404902775029,0.934731182795699,0.0418279569892473,0.00731182795698925,3829,39.0702533298511,3.05562810133194,12.6421404682274,5.48446069469835,0.861843823452599,100,2.75167785234899,3971,32.8632586250315,15.8650214051876,1459,6,22,37.3429879679144,0.153569518716578,0.563088235294118,62.6570120320856,393,3046,NA,6485,41.0504389227793,2099,NA,360,19.0619816015684,2459,687,6375,529,10888,59.2,4.37420781912083,2.88016059670449,0.585506980161646,0.469699306090979,0.853599023993493,-6.20699470481966,-15.8867531582583,1,3187,1071,0.504835063535811,393,0.12331346,0,0,0,0,0,0,1329,0.41700658,394,0.12362724,1,3,1,0.33333334,0,0,0,0,0,0,0,0,2,0.66666669,0,0,7,9.9598675,10.084975,4.8903489,11.396392,8.2503586,8.2867737,8.8066597,1,1,NA,0.326382592928377,0.673617407071623,87.514916774
"Barking and Dagenham","3","00ABFZ","E05000028","Becontree",9.48051948051948,0.411953226504981,4072,10.01964637,89.80844794,0.171905697,22390,25250,7.190775681,6.097560976,89972.5,238,8884.615385,86.01404665,89.42307692,105.4580725,106.4510396,111.7064024,109.8624472,21.5902193708165,28.1275113956835,0.834061135371179,0.0679475982532751,0.0609606986899563,4298,27.9664960446719,7.42205677059097,18.1063122923588,5.21172638436482,2.07073057235924,100,7.92988313856427,4277,23.6848258124854,20.1309328968903,1129,20,31,40.3697337770383,0.715141430948419,1.10846921797005,59.6302662229617,1260,3566,NA,5575,32.3832145684877,2211,438,NA,17.0410427066001,2649,1373,7002,584,11454,60.23,4.45451061605564,3.07224040523547,0.611314824515453,0.639641255605381,0.834654586636467,-4.28167023218655,-15.3099988834757,1,2670,1268,0.566225658498827,653,0.24456929,0,0,0,0,0,0,0,0,749,0.28052434,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,10.01637,10.136581,5.4722705,11.407259,8.3659048,8.3610067,9.0920763,1,1,0.342455043002346,NA,0.657544956997654,104.580207724
"Barking and Dagenham","4","00ABGA","E05000029","Chadwell Heath",9.9468085106383,0.378904300967967,3976,32.8722334,66.59959759,0.503018109,23040,25950,7.23108595,8.333333333,108000,156,2764.705882,118.1924758,132.9560017,156.5478103,156.6756032,152.9235382,137.8682378,26.5373548009017,35.0182051760504,0.871384019787074,0.0564576836218948,0.0468867620174212,3990,28.796992481203,4.33583959899749,60.4691572545613,4.53634085213033,1.32832080200501,99.7384481255449,28.5963382737576,3942,25.3678335870117,12.3541349568747,1073,14,40,37.2608355091384,0.486161879895561,1.38903394255875,62.7391644908616,2190,3087,NA,6598,36.1876075731497,1592,NA,642,26.6958424507659,4207,3838,5587,481,11442,61.38,4.77231444643145,3.27855335554579,0.48828876070617,0.467869051227645,0.378416924173996,-3.42915889419134,-11.9080452461475,1,2919,1101,0.343440785834202,873,0.29907504,0,0,0,0,0,0,0,0,385,0.13189448,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,10.044987,10.163927,5.0498562,11.589887,8.2915468,8.2794437,7.9246893,1,1,NA,0.334723670490094,0.309697601668405,147.39423824
"Barking and Dagenham","5","00ABGB","E05000030","Eastbrook",6.66666666666667,0.24766799923853,3979,14.45086705,84.92083438,0.603166625,26110,29330,4.911550468,6.448839209,107000,200,2914.285714,74.73973679,85.99071972,77.3661734,76.34730539,90.69093091,92.34166416,15.7140051069645,28.1971802829327,0.919968304278922,0.0373415213946117,0.0211965134706815,3990,18.2957393483709,4.11027568922306,43.2098765432099,2.63157894736842,0.927318295739348,100,2.20082530949106,3887,15.8991510162079,11.2168767687162,709,3,17,38.7521917808219,0.163972602739726,0.929178082191781,61.2478082191781,3307,3313,NA,6620,54.1007576764589,2832,NA,2119,25.5694837579189,5161,3499,6175,392,13041,63.03,4.314011902376,2.75455235974814,0.473506632926923,0.500453172205438,0.548730866111219,-2.39658833216305,-13.0991608840145,1,2290,1151,0.510081979824561,1139,0.4973799,0,0,0,0,0,0,0,0,0,0,1,3,2,0.66666669,0,0,1,0.33333334,0,0,0,0,0,0,0,0,6,10.170074,10.286366,5.2983174,11.580585,8.2915468,8.2653933,7.9773798,1,1,NA,0.374097007223942,0.517543859649123,84.547358716
"Barking and Dagenham","6","00ABGC","E05000031","Eastbury",9.31372549019608,0.417068134893324,4206,19.0679981,80.83689967,0.095102235,22120,24970,6.528520499,8.436944938,88000,167,7285.714286,99.75454099,96.47150816,108.5580761,119.1514095,104.6411069,133.5116035,18.3603338239468,26.2323436030303,0.847556744969769,0.0780057488353652,0.047973039944494,4255,38.8484136310223,4.37132784958872,26.6505148394912,5.02937720329025,1.41010575793185,99.818401937046,2.54237288135593,4272,32.373595505618,17.251872659176,1551,27,55,39.9244101633394,0.695009074410163,1.41575922565033,60.0755898366606,NA,2761,1105,5654,39.378978822918,2171,2801,NA,25.8166781529979,4972,1246,5886,1884,11334,59.43,4.60271257844307,2.91019256715923,0.519322392800423,0.488326848249027,0.436645213193886,-6.47481812540435,-16.6668790826349,1,2396,965,0.419501942652945,0,0,523,0.21828046,260,0.10851419,0,0,102,0.042570952,546,0.22787979,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,11,10.004237,10.12543,5.1179938,11.385092,8.3558502,8.3598375,8.893671,1,1,0.563750714694111,NA,0.436249285305889,112.466740832
"Barking and Dagenham","7","00ABGD","E05000032","Gascoigne",14.1052631578947,0.603999357532926,4067,68.28128842,31.64494714,0.073764446,19890,22700,11.77419355,9.479077711,87000,125,8636.363636,277.3313597,239.4030469,219.6461257,190.3717731,170.320569,162.4665903,39.2260520200915,35.8569618947368,0.682531213317682,0.165830754455234,0.0968946750613595,4057,61.6465368498891,5.34877988661573,79.0985241324292,15.5040670446142,2.26768548188316,99.599519423308,4.76571886263516,4645,50.3552206673843,18.2992465016146,1877,125,440,30.4477768892443,2.02768892443023,7.1374650139944,69.5522231107557,586,4203,NA,5311,33.03946263644,2712,1024,NA,24.2195202103188,3894,1246,7969,456,11544,58.3910274162282,5.62521303566143,3.66934111840199,0.690315315315315,0.791376388627377,0.696456086286595,-11.2913161825048,-18.3162214124038,1,2687,1579,0.6173707075212,586,0.21808709,0,0,522,0.1942687,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9.8979721,10.03012,4.8283138,11.373663,8.3081989,8.4435463,9.0637369,1,1,0.249836921069798,NA,0.6470971950424,196.441621
"Barking and Dagenham","8","00ABGE","E05000033","Goresbrook",9.85576923076923,0.332830389633443,3951,8.301695773,91.57175399,0.12655024,21460,24290,7.02070207,7.981651376,85000,161,8000,78.49534594,75.10564733,99.25940175,103.2326342,98.93484311,86.28954938,16.7930141069682,28.500143941484,0.904384012387496,0.0573889480305816,0.0162585889867415,4065,37.0725707257073,4.00984009840098,11.0152621101526,5.14145141451414,1.32841328413284,100,4.8472775564409,4221,28.8557213930348,15.7782515991471,1466,6,27,39.5440610484406,0.161844724618447,0.728301260783013,60.4559389515594,373,3501,NA,7032,41.3949027130721,2467,1029,NA,20.2898550724638,3496,1177,5977,804,11907,57.78,4.36303933564226,2.82096297296303,0.501973628957756,0.497866894197952,0.705663615560641,-8.21684933267242,-22.1642286246273,1,3378,1204,0.488014442198244,373,0.11042037,0,0,0,0,0,0,1434,0.42451155,367,0.10864417,1,3,1,0.33333334,0,0,0,0,0,0,0,0,2,0.66666669,0,0,7,9.9739456,10.09782,5.0814042,11.350407,8.3101692,8.347827,8.9871969,1,1,0.380395025603511,NA,0.619604974396489,92.564415154
"Barking and Dagenham","9","00ABGF","E05000034","Heath",11.7948717948718,0.322825885407009,4037,36.46271984,63.46296755,0.074312608,20850,23660,8.720930233,7.776761208,86500,151,4875,103.6147053,106.7473339,103.7803504,117.268173,115.3494049,127.7501774,21.770384066997,34.1776014518519,0.920717172764017,0.0477769717069126,0.0103637682661416,4160,47.8365384615385,2.76442307692308,57.7019568489714,8.41346153846154,0.673076923076923,99.6987951807229,5.57228915662651,4317,42.7611767431086,11.3041463979615,1902,18,59,39.7604020100502,0.376281407035176,1.23336683417085,60.2395979899498,1114,3804,NA,5708,34.2617631151974,2788,677,362,21.7810386994677,3827,1783,6479,447,11661,58.9157136806438,4.64067926280261,3.08055051712102,0.555612726181288,0.666433076384022,0.728507969689052,-5.07536171842982,-10.6098013812402,1,2662,1293,0.530876821270125,579,0.21750563,0,0,0,0,0,0,0,0,790,0.29676935,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9.9451094,10.071541,5.0172796,11.3679,8.3332701,8.3703156,8.4918756,1,1,0.208109719737627,0.215861657722123,0.57602862254025,114.17908792
"Barking and Dagenham","10","00ABGG","E05000035","Longbridge",4.97206703910615,0.573967590172504,3649,11.9758838,80.40559057,7.618525623,30090,34020,3.86639213,5.189990732,138000,219,5593.75,76.89732143,67.1641791,82.0822983,88.86293662,70.57354013,89.26380368,11.4955357144993,12.1786197569469,0.838582677165354,0.047244094488189,0.0867266591676041,3474,12.5791594703512,4.17386298215314,72.3112128146453,1.89982728842832,1.09383995394358,100,5.32407407407407,3720,10.2956989247312,15.2956989247312,398,6,23,31.6396338672769,0.476979405034325,1.82842105263158,68.3603661327231,3248,3758,NA,9367,48.5350656237571,2495,1065,2309,29.5680134209423,5869,2646,8751,1239,15072,69.09,4.3424710440454,2.44195876126137,0.580613057324841,0.401195686986228,0.425115011075141,-2.28346054562,-18.152727541153,1,4860,1272,0.341888974305488,1227,0.25246912,0,0,588,0.12098765,0,0,0,0,701,0.14423868,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,10.311948,10.434704,5.3890719,11.835009,8.1530619,8.2214794,8.629405,1,1,0.184069936862555,0.393880524526469,0.422049538610976,79.589351566
