"","borough","year","party","seats","leader","clerk","control"
"1.1","Barking and Dagenham",1964,"Labour Party",45,"Ted Ball","Keith Lauder","Labour"
"1.2","Barking and Dagenham",1964,"Independent",4,"Ted Ball","Keith Lauder","Labour"
"2.1","Barking and Dagenham",1965,"Labour Party",45,"Ted Ball","Keith Lauder","Labour"
"2.2","Barking and Dagenham",1965,"Independent",4,"Ted Ball","Keith Lauder","Labour"
"3.1","Barking and Dagenham",1966,"Labour Party",45,"Ted Ball","Keith Lauder","Labour"
"3.2","Barking and Dagenham",1966,"Independent",4,"Ted Ball","Keith Lauder","Labour"
"4.1","Barking and Dagenham",1967,"Labour Party",45,"Ted Ball","Keith Lauder","Labour"
"4.2","Barking and Dagenham",1967,"Independent",4,"Ted Ball","Keith Lauder","Labour"
"5.1","Barking and Dagenham",1968,"Labour Party",32,"Ted Ball","Keith Lauder","Labour"
"5.2","Barking and Dagenham",1968,"Conservative",13,"Ted Ball","Keith Lauder","Labour"
"5.3","Barking and Dagenham",1968,"Independent",4,"Ted Ball","Keith Lauder","Labour"
"6.1","Barking and Dagenham",1969,"Labour Party",32,"Ted Ball","Keith Lauder","Labour"
"6.2","Barking and Dagenham",1969,"Conservative",13,"Ted Ball","Keith Lauder","Labour"
"6.3","Barking and Dagenham",1969,"Independent",4,"Ted Ball","Keith Lauder","Labour"
"7.1","Barking and Dagenham",1970,"Labour Party",32,"Ted Ball","Keith Lauder","Labour"
"7.2","Barking and Dagenham",1970,"Conservative",13,"Ted Ball","Keith Lauder","Labour"
"7.3","Barking and Dagenham",1970,"Independent",4,"Ted Ball","Keith Lauder","Labour"
"8.1","Barking and Dagenham",1971,"Labour Party",45,"Ted Ball","Keith Lauder","Labour"
"8.2","Barking and Dagenham",1971,"Independent",4,"Ted Ball","Keith Lauder","Labour"
"9.1","Barking and Dagenham",1972,"Labour Party",45,"Joe Butler","Keith Lauder","Labour"
"9.2","Barking and Dagenham",1972,"Independent",4,"Joe Butler","Keith Lauder","Labour"
"10.1","Barking and Dagenham",1973,"Labour Party",45,"Joe Butler","Keith Lauder","Labour"
"10.2","Barking and Dagenham",1973,"Independent",4,"Joe Butler","Keith Lauder","Labour"
"11.1","Barking and Dagenham",1974,"Labour Party",45,"Joe Butler","Stanley Watson-Barker","Labour"
"11.2","Barking and Dagenham",1974,"Independent",4,"Joe Butler","Stanley Watson-Barker","Labour"
"12.1","Barking and Dagenham",1975,"Labour Party",45,"Joe Butler","Stanley Watson-Barker","Labour"
"12.2","Barking and Dagenham",1975,"Independent",4,"Joe Butler","Stanley Watson-Barker","Labour"
"13.1","Barking and Dagenham",1976,"Labour Party",45,"Joe Butler","Stanley Watson-Barker","Labour"
"13.2","Barking and Dagenham",1976,"Independent",4,"Joe Butler","Stanley Watson-Barker","Labour"
"14.1","Barking and Dagenham",1977,"Labour Party",45,"Joe Butler","Stanley Watson-Barker","Labour"
"14.2","Barking and Dagenham",1977,"Independent",4,"Joe Butler","Stanley Watson-Barker","Labour"
"15.1","Barking and Dagenham",1978,"Labour Party",42,"Joe Butler","Stanley Watson-Barker","Labour"
"15.2","Barking and Dagenham",1978,"Independent",3,"Joe Butler","Stanley Watson-Barker","Labour"
"15.3","Barking and Dagenham",1978,"Conservative",3,"Joe Butler","Stanley Watson-Barker","Labour"
"16.1","Barking and Dagenham",1979,"Labour Party",42,"Joe Butler","Dudley Farr","Labour"
"16.2","Barking and Dagenham",1979,"Independent",3,"Joe Butler","Dudley Farr","Labour"
"16.3","Barking and Dagenham",1979,"Conservative",3,"Joe Butler","Dudley Farr","Labour"
"17.1","Barking and Dagenham",1980,"Labour Party",42,"Joe Butler","Dudley Farr","Labour"
"17.2","Barking and Dagenham",1980,"Conservative",3,"Joe Butler","Dudley Farr","Labour"
"17.3","Barking and Dagenham",1980,"Independent",3,"Joe Butler","Dudley Farr","Labour"
"18.1","Barking and Dagenham",1981,"Labour Party",42,"Joe Butler","Dudley Farr","Labour"
"18.2","Barking and Dagenham",1981,"Conservative",3,"Joe Butler","Dudley Farr","Labour"
"18.3","Barking and Dagenham",1981,"Independent",3,"Joe Butler","Dudley Farr","Labour"
"19.1","Barking and Dagenham",1982,"Labour Party",37,"Joe Butler","Dudley Farr","Labour"
"19.2","Barking and Dagenham",1982,"Independent",5,"Joe Butler","Dudley Farr","Labour"
"19.3","Barking and Dagenham",1982,"Conservative",3,"Joe Butler","Dudley Farr","Labour"
"19.4","Barking and Dagenham",1982,"Liberal Democrats",3,"Joe Butler","Dudley Farr","Labour"
"20.1","Barking and Dagenham",1983,"Labour Party",37,"Joe Butler","Dudley Farr","Labour"
"20.2","Barking and Dagenham",1983,"Independent",5,"Joe Butler","Dudley Farr","Labour"
"20.3","Barking and Dagenham",1983,"Conservative",3,"Joe Butler","Dudley Farr","Labour"
"20.4","Barking and Dagenham",1983,"Liberal Democrats",3,"Joe Butler","Dudley Farr","Labour"
"21.1","Barking and Dagenham",1984,"Labour Party",37,"Joe Butler","Dudley Farr","Labour"
"21.2","Barking and Dagenham",1984,"Independent",5,"Joe Butler","Dudley Farr","Labour"
"21.3","Barking and Dagenham",1984,"Liberal Democrats",3,"Joe Butler","Dudley Farr","Labour"
"21.4","Barking and Dagenham",1984,"Conservative",3,"Joe Butler","Dudley Farr","Labour"
"22.1","Barking and Dagenham",1985,"Labour Party",37,"Joe Butler","Dudley Farr","Labour"
"22.2","Barking and Dagenham",1985,"Independent",5,"Joe Butler","Dudley Farr","Labour"
"22.3","Barking and Dagenham",1985,"Liberal Democrats",3,"Joe Butler","Dudley Farr","Labour"
"22.4","Barking and Dagenham",1985,"Conservative",3,"Joe Butler","Dudley Farr","Labour"
"23.1","Barking and Dagenham",1986,"Labour Party",35,"George Brooker","Dudley Farr","Labour"
"23.2","Barking and Dagenham",1986,"Liberal Democrats",5,"George Brooker","Dudley Farr","Labour"
"23.3","Barking and Dagenham",1986,"Independent",5,"George Brooker","Dudley Farr","Labour"
"23.4","Barking and Dagenham",1986,"Conservative",3,"George Brooker","Dudley Farr","Labour"
"24.1","Barking and Dagenham",1987,"Labour Party",35,"George Brooker","Dudley Farr","Labour"
"24.2","Barking and Dagenham",1987,"Liberal Democrats",5,"George Brooker","Dudley Farr","Labour"
"24.3","Barking and Dagenham",1987,"Independent",5,"George Brooker","Dudley Farr","Labour"
"24.4","Barking and Dagenham",1987,"Conservative",3,"George Brooker","Dudley Farr","Labour"
"25.1","Barking and Dagenham",1988,"Labour Party",35,"George Brooker","Dudley Farr","Labour"
"25.2","Barking and Dagenham",1988,"Independent",5,"George Brooker","Dudley Farr","Labour"
"25.3","Barking and Dagenham",1988,"Liberal Democrats",5,"George Brooker","Dudley Farr","Labour"
"25.4","Barking and Dagenham",1988,"Conservative",3,"George Brooker","Dudley Farr","Labour"
"26.1","Barking and Dagenham",1989,"Labour Party",35,"George Brooker","Dudley Farr","Labour"
"26.2","Barking and Dagenham",1989,"Independent",5,"George Brooker","Dudley Farr","Labour"
"26.3","Barking and Dagenham",1989,"Liberal Democrats",5,"George Brooker","Dudley Farr","Labour"
"26.4","Barking and Dagenham",1989,"Conservative",3,"George Brooker","Dudley Farr","Labour"
"27.1","Barking and Dagenham",1990,"Labour Party",44,"George Brooker","Dudley Farr","Labour"
"27.2","Barking and Dagenham",1990,"Residents' Group",3,"George Brooker","Dudley Farr","Labour"
"27.3","Barking and Dagenham",1990,"Liberal Democrats",1,"George Brooker","Dudley Farr","Labour"
"28.1","Barking and Dagenham",1991,"Labour Party",44,"George Brooker","Dudley Farr","Labour"
"28.2","Barking and Dagenham",1991,"Independent",3,"George Brooker","Dudley Farr","Labour"
"28.3","Barking and Dagenham",1991,"Liberal Democrats",1,"George Brooker","Dudley Farr","Labour"
"29.1","Barking and Dagenham",1992,"Labour Party",44,"George Brooker","William (Bill) Smith","Labour"
"29.2","Barking and Dagenham",1992,"Independent",3,"George Brooker","William (Bill) Smith","Labour"
"29.3","Barking and Dagenham",1992,"Liberal Democrats",1,"George Brooker","William (Bill) Smith","Labour"
"30.1","Barking and Dagenham",1993,"Labour Party",44,"George Brooker","William (Bill) Smith","Labour"
"30.2","Barking and Dagenham",1993,"Residents' Group",3,"George Brooker","William (Bill) Smith","Labour"
"30.3","Barking and Dagenham",1993,"Liberal Democrats",1,"George Brooker","William (Bill) Smith","Labour"
"31.1","Barking and Dagenham",1994,"Labour Party",47,"George Brooker","William (Bill) Smith","Labour"
"31.2","Barking and Dagenham",1994,"Independent",3,"George Brooker","William (Bill) Smith","Labour"
"31.3","Barking and Dagenham",1994,"Liberal Democrats",1,"George Brooker","William (Bill) Smith","Labour"
"32.1","Barking and Dagenham",1995,"Labour Party",47,"George Brooker","William (Bill) Smith","Labour"
"32.2","Barking and Dagenham",1995,"Independent",3,"George Brooker","William (Bill) Smith","Labour"
"32.3","Barking and Dagenham",1995,"Liberal Democrats",1,"George Brooker","William (Bill) Smith","Labour"
"33.1","Barking and Dagenham",1996,"Labour Party",47,"George Brooker","William (Bill) Smith","Labour"
"33.2","Barking and Dagenham",1996,"Independent",3,"George Brooker","William (Bill) Smith","Labour"
"33.3","Barking and Dagenham",1996,"Liberal Democrats",1,"George Brooker","William (Bill) Smith","Labour"
"34.1","Barking and Dagenham",1997,"Labour Party",47,"George Brooker","William (Bill) Smith","Labour"
"34.2","Barking and Dagenham",1997,"Independent",3,"George Brooker","William (Bill) Smith","Labour"
"34.3","Barking and Dagenham",1997,"Liberal Democrats",1,"George Brooker","William (Bill) Smith","Labour"
"35.1","Barking and Dagenham",1998,"Labour Party",47,"Charles Fairbrass","William (Bill) Smith","Labour"
"35.2","Barking and Dagenham",1998,"Residents' Group",3,"Charles Fairbrass","William (Bill) Smith","Labour"
"35.3","Barking and Dagenham",1998,"Liberal Democrats",1,"Charles Fairbrass","William (Bill) Smith","Labour"
"36.1","Barking and Dagenham",1999,"Labour Party",46,"Charles Fairbrass","William (Bill) Smith","Labour"
"36.2","Barking and Dagenham",1999,"Residents' Group",3,"Charles Fairbrass","William (Bill) Smith","Labour"
"36.3","Barking and Dagenham",1999,"Liberal Democrats",2,"Charles Fairbrass","William (Bill) Smith","Labour"
"37.1","Barking and Dagenham",2000,"Labour Party",46,"Charles Fairbrass","Graham Farrant","Labour"
"37.2","Barking and Dagenham",2000,"Residents' Group",3,"Charles Fairbrass","Graham Farrant","Labour"
"37.3","Barking and Dagenham",2000,"Liberal Democrats",2,"Charles Fairbrass","Graham Farrant","Labour"
"38.1","Barking and Dagenham",2001,"Labour Party",46,"Charles Fairbrass","Graham Farrant","Labour"
"38.2","Barking and Dagenham",2001,"Residents' Group",3,"Charles Fairbrass","Graham Farrant","Labour"
"38.3","Barking and Dagenham",2001,"Liberal Democrats",1,"Charles Fairbrass","Graham Farrant","Labour"
"39.1","Barking and Dagenham",2002,"Labour Party",42,"Charles Fairbrass","Graham Farrant","Labour"
"39.2","Barking and Dagenham",2002,"Chadwell Heath Residents Association",4,"Charles Fairbrass","Graham Farrant","Labour"
"39.3","Barking and Dagenham",2002,"Liberal Democrats",3,"Charles Fairbrass","Graham Farrant","Labour"
"39.4","Barking and Dagenham",2002,"Conservative",2,"Charles Fairbrass","Graham Farrant","Labour"
"40.1","Barking and Dagenham",2003,"Labour Party",41,"Charles Fairbrass","Graham Farrant","Labour"
"40.2","Barking and Dagenham",2003,"Independent",4,"Charles Fairbrass","Graham Farrant","Labour"
"40.3","Barking and Dagenham",2003,"Liberal Democrats",3,"Charles Fairbrass","Graham Farrant","Labour"
"40.4","Barking and Dagenham",2003,"Conservative",3,"Charles Fairbrass","Graham Farrant","Labour"
"41.1","Barking and Dagenham",2004,"Labour Party",40,"Charles Fairbrass","John Tatum","Labour"
"41.2","Barking and Dagenham",2004,"Independent",3,"Charles Fairbrass","John Tatum","Labour"
"41.3","Barking and Dagenham",2004,"Conservative",3,"Charles Fairbrass","John Tatum","Labour"
"41.4","Barking and Dagenham",2004,"Liberal Democrats",3,"Charles Fairbrass","John Tatum","Labour"
"41.5","Barking and Dagenham",2004,"Vacancies",1,"Charles Fairbrass","John Tatum","Labour"
"42.1","Barking and Dagenham",2005,"Labour Party",43,"Charles Fairbrass","Rob Whiteman","Labour"
"42.2","Barking and Dagenham",2005,"Conservative",3,"Charles Fairbrass","Rob Whiteman","Labour"
"42.3","Barking and Dagenham",2005,"Liberal Democrats",3,"Charles Fairbrass","Rob Whiteman","Labour"
"42.4","Barking and Dagenham",2005,"Independent",2,"Charles Fairbrass","Rob Whiteman","Labour"
"43.1","Barking and Dagenham",2006,"Labour Party",39,"Charles Fairbrass","Rob Whiteman","Labour"
"43.2","Barking and Dagenham",2006,"British National Party",11,"Charles Fairbrass","Rob Whiteman","Labour"
"43.3","Barking and Dagenham",2006,"Conservative",1,"Charles Fairbrass","Rob Whiteman","Labour"
"44.1","Barking and Dagenham",2007,"Labour Party",38,"Charles Fairbrass","Rob Whiteman","Labour"
"44.2","Barking and Dagenham",2007,"British National Party",12,"Charles Fairbrass","Rob Whiteman","Labour"
"44.3","Barking and Dagenham",2007,"Conservative",1,"Charles Fairbrass","Rob Whiteman","Labour"
"45.1","Barking and Dagenham",2008,"Labour Party",37,"Charles Fairbrass","Rob Whiteman","Labour"
"45.2","Barking and Dagenham",2008,"British National Party",12,"Charles Fairbrass","Rob Whiteman","Labour"
"45.3","Barking and Dagenham",2008,"Conservative",2,"Charles Fairbrass","Rob Whiteman","Labour"
"46.1","Barking and Dagenham",2009,"Labour Party",37,"Liam Smith","Rob Whiteman","Labour"
"46.2","Barking and Dagenham",2009,"British National Party",12,"Liam Smith","Rob Whiteman","Labour"
"46.3","Barking and Dagenham",2009,"Conservative",2,"Liam Smith","Rob Whiteman","Labour"
"47","Barking and Dagenham",2010,"Labour Party",51,"Liam Smith","David Woods","Labour"
"48","Barking and Dagenham",2011,"Labour Party",51,"Liam Smith","Stella Manzie","Labour"
"49.1","Barking and Dagenham",2012,"Labour Party",49,"Liam Smith","Graham Farrant","Labour"
"49.2","Barking and Dagenham",2012,"Conservative",1,"Liam Smith","Graham Farrant","Labour"
"49.3","Barking and Dagenham",2012,"Independent",1,"Liam Smith","Graham Farrant","Labour"
"50.1","Barking and Dagenham",2013,"Labour Party",51,"Liam Smith","Graham Farrant","Labour"
"50.2","Barking and Dagenham",2013,"Conservative",1,"Liam Smith","Graham Farrant","Labour"
"51","Barking and Dagenham",2014,"Labour Party",51,"Darren Rodwell","Graham Farrant","Labour"
"52","Barking and Dagenham",2015,"Labour Party",51,"Darren Rodwell","Chris Naylor","Labour"
"53","Barking and Dagenham",2016,"Labour Party",51,"Darren Rodwell","Chris Naylor","Labour"
"54","Barking and Dagenham",2017,"Labour Party",49,"Darren Rodwell","Chris Naylor","Labour"
"55","Barking and Dagenham",2018,"Labour Party",51,"Darren Rodwell","Chris Naylor","Labour"
"56.1","Barnet",1964,"Conservative",37,"Unknown","RH Williams","Conservative"
"56.2","Barnet",1964,"Labour Party",13,"Unknown","RH Williams","Conservative"
"56.3","Barnet",1964,"Liberal Democrats",6,"Unknown","RH Williams","Conservative"
"57.1","Barnet",1965,"Conservative",37,"Unknown","RH Williams","Conservative"
"57.2","Barnet",1965,"Labour Party",13,"Unknown","RH Williams","Conservative"
"57.3","Barnet",1965,"Liberal Democrats",6,"Unknown","RH Williams","Conservative"
"58.1","Barnet",1966,"Conservative",37,"Unknown","RH Williams","Conservative"
"58.2","Barnet",1966,"Labour Party",13,"Unknown","RH Williams","Conservative"
