"","borough","year","leader","clerk","control","seats.labour","seats.other","seats.tory","seats.libdem","plabour","clabour"
"1","Barking and Dagenham",1964,"Ted Ball","Keith Lauder","Labour",45,4,0,0,0.918367346938776,1
"2","Barking and Dagenham",1965,"Ted Ball","Keith Lauder","Labour",45,4,0,0,0.918367346938776,1
"3","Barking and Dagenham",1966,"Ted Ball","Keith Lauder","Labour",45,4,0,0,0.918367346938776,1
"4","Barking and Dagenham",1967,"Ted Ball","Keith Lauder","Labour",45,4,0,0,0.918367346938776,1
"5","Barking and Dagenham",1968,"Ted Ball","Keith Lauder","Labour",32,4,13,0,0.653061224489796,1
"6","Barking and Dagenham",1969,"Ted Ball","Keith Lauder","Labour",32,4,13,0,0.653061224489796,1
"7","Barking and Dagenham",1970,"Ted Ball","Keith Lauder","Labour",32,4,13,0,0.653061224489796,1
"8","Barking and Dagenham",1971,"Ted Ball","Keith Lauder","Labour",45,4,0,0,0.918367346938776,1
"9","Barking and Dagenham",1972,"Joe Butler","Keith Lauder","Labour",45,4,0,0,0.918367346938776,1
"10","Barking and Dagenham",1973,"Joe Butler","Keith Lauder","Labour",45,4,0,0,0.918367346938776,1
"11","Barking and Dagenham",1974,"Joe Butler","Stanley Watson-Barker","Labour",45,4,0,0,0.918367346938776,1
"12","Barking and Dagenham",1975,"Joe Butler","Stanley Watson-Barker","Labour",45,4,0,0,0.918367346938776,1
"13","Barking and Dagenham",1976,"Joe Butler","Stanley Watson-Barker","Labour",45,4,0,0,0.918367346938776,1
"14","Barking and Dagenham",1977,"Joe Butler","Stanley Watson-Barker","Labour",45,4,0,0,0.918367346938776,1
"15","Barking and Dagenham",1978,"Joe Butler","Stanley Watson-Barker","Labour",42,3,3,0,0.875,1
"16","Barking and Dagenham",1979,"Joe Butler","Dudley Farr","Labour",42,3,3,0,0.875,1
"17","Barking and Dagenham",1980,"Joe Butler","Dudley Farr","Labour",42,3,3,0,0.875,1
"18","Barking and Dagenham",1981,"Joe Butler","Dudley Farr","Labour",42,3,3,0,0.875,1
"19","Barking and Dagenham",1982,"Joe Butler","Dudley Farr","Labour",37,5,3,3,0.770833333333333,1
"20","Barking and Dagenham",1983,"Joe Butler","Dudley Farr","Labour",37,5,3,3,0.770833333333333,1
"21","Barking and Dagenham",1984,"Joe Butler","Dudley Farr","Labour",37,5,3,3,0.770833333333333,1
"22","Barking and Dagenham",1985,"Joe Butler","Dudley Farr","Labour",37,5,3,3,0.770833333333333,1
"23","Barking and Dagenham",1986,"George Brooker","Dudley Farr","Labour",35,5,3,5,0.729166666666667,1
"24","Barking and Dagenham",1987,"George Brooker","Dudley Farr","Labour",35,5,3,5,0.729166666666667,1
"25","Barking and Dagenham",1988,"George Brooker","Dudley Farr","Labour",35,5,3,5,0.729166666666667,1
"26","Barking and Dagenham",1989,"George Brooker","Dudley Farr","Labour",35,5,3,5,0.729166666666667,1
"27","Barking and Dagenham",1990,"George Brooker","Dudley Farr","Labour",44,3,0,1,0.916666666666667,1
"28","Barking and Dagenham",1991,"George Brooker","Dudley Farr","Labour",44,3,0,1,0.916666666666667,1
"29","Barking and Dagenham",1992,"George Brooker","William (Bill) Smith","Labour",44,3,0,1,0.916666666666667,1
"30","Barking and Dagenham",1993,"George Brooker","William (Bill) Smith","Labour",44,3,0,1,0.916666666666667,1
"31","Barking and Dagenham",1994,"George Brooker","William (Bill) Smith","Labour",47,3,0,1,0.92156862745098,1
"32","Barking and Dagenham",1995,"George Brooker","William (Bill) Smith","Labour",47,3,0,1,0.92156862745098,1
"33","Barking and Dagenham",1996,"George Brooker","William (Bill) Smith","Labour",47,3,0,1,0.92156862745098,1
"34","Barking and Dagenham",1997,"George Brooker","William (Bill) Smith","Labour",47,3,0,1,0.92156862745098,1
"35","Barking and Dagenham",1998,"Charles Fairbrass","William (Bill) Smith","Labour",47,3,0,1,0.92156862745098,1
"36","Barking and Dagenham",1999,"Charles Fairbrass","William (Bill) Smith","Labour",46,3,0,2,0.901960784313726,1
"37","Barking and Dagenham",2000,"Charles Fairbrass","Graham Farrant","Labour",46,3,0,2,0.901960784313726,1
"38","Barking and Dagenham",2001,"Charles Fairbrass","Graham Farrant","Labour",46,3,0,1,0.92,1
"39","Barking and Dagenham",2002,"Charles Fairbrass","Graham Farrant","Labour",42,4,2,3,0.823529411764706,1
"40","Barking and Dagenham",2003,"Charles Fairbrass","Graham Farrant","Labour",41,4,3,3,0.803921568627451,1
"41","Barking and Dagenham",2004,"Charles Fairbrass","John Tatum","Labour",40,4,3,3,0.8,1
"42","Barking and Dagenham",2005,"Charles Fairbrass","Rob Whiteman","Labour",43,2,3,3,0.843137254901961,1
